,标题,学校,门类/专业,招生人数,发布时间,链接
168,长春工业大学材料强韧化课题组有调剂名额，欢迎你的加入,长春工业大学,工学 -> 材料科学与工程  ,15,2020-03-29 11:22,http://muchong.com/t-14164536-1
169,桂林理工大学接收调剂研究生,桂林理工大学,工学 -> 材料科学与工程  -> 材料学,20,2020-03-28 23:18,http://muchong.com/t-14164081-1
170,2020西南科技大学微系统中心招收硕士调剂硕士生,西南科大,工学   ,20,2020-03-28 23:14,http://muchong.com/t-14164075-1
171,轻量化金属材料与技术研究所,江西理工,工学 -> 材料科学与工程  -> 材料学,2,2020-03-28 23:01,http://muchong.com/t-14164062-1
172,上海工程接收调剂研究生(已招满),上海工程,工学 -> 材料科学与工程  -> 材料物理与化学,5,2020-03-28 18:19,http://muchong.com/t-14163701-1
173,宁波大学接收调剂研究生,宁波大学,工学 -> 食品科学与工程  -> 食品科学,4,2020-03-28 18:09,http://muchong.com/t-14163687-1
174,高分子材料专业研究生调剂,武汉科大,工学 -> 材料科学与工程  -> 材料学,1,2020-03-28 11:20,http://muchong.com/t-14163137-1
175,河北经贸生物工程接收调剂研究生2名,河北经贸,工学 -> 生物工程  ,6,2020-03-28 11:03,http://muchong.com/t-14163106-1
176,计算机好的矿山安全专业工科男(学硕)调剂信息,辽宁工程技术大学,工学 -> 安全科学与工程  -> 安全科学与工程,8,2020-03-28 10:13,http://muchong.com/t-14162994-1
177,暖通空调专业江西理工大学建筑节能课题组招收20级硕士研究生,江西理工,工学 -> 土木工程  -> 供热、供燃气、通风及空调工程,1,2020-03-28 09:32,http://muchong.com/t-14162919-1
178,太原理工大学超硬材料实验室2020年招收硕士研究生,太原理工,工学 -> 材料科学与工程  ,0,2020-03-28 09:13,http://muchong.com/t-14162892-1
179,已满,重庆科技学院,工学 -> 环境科学与工程  -> 环境工程,1,2020-03-27 21:58,http://muchong.com/t-14162515-1
180,已满,重庆科技学院,工学 -> 化学工程与技术  ,1,2020-03-27 21:58,http://muchong.com/t-14162515-1
181,浙江科技接收调剂研究生,浙江科技,工学 -> 机械工程  -> 机械制造及其自动化,70,2020-03-27 20:43,http://muchong.com/t-14162396-1
182,东北林大接收调剂研究生,东北林大,工学   ,0,2020-03-27 17:29,http://muchong.com/t-14162156-1
183,河南理工大学化学化工学院有部分调剂名额,河南理工,工学 -> 化学工程与技术  -> 应用化学,2,2020-03-27 16:07,http://muchong.com/t-14162012-1
184,重庆三峡学院接收调剂研究生,重庆三峡学院,工学 -> 电子科学与技术  -> 电路与系统,8,2020-03-27 16:03,http://muchong.com/t-14162000-1
185,东北林业大学生物质复合材料学科招收调剂硕士研究生,东北林大,工学 -> 林业工程  ,2,2020-03-27 11:33,http://muchong.com/t-14161512-1
186,东北林大高分子材料方向接收硕士调剂,东北林大,工学 -> 林业工程  -> 木材科学与技术,3,2020-03-27 11:22,http://muchong.com/t-14161490-1
187,郭小峰课题组招收化学、和化工及材料专业专业调剂生,重庆交大,工学 -> 材料科学与工程  -> 材料物理与化学,5,2020-03-27 11:03,http://muchong.com/t-14161454-1
188,天津职业技术师范大学机械性能测试与计算仿真研究所接收硕士生调剂,天津职业技术师范大学,工学 -> 机械工程  -> 机械制造及其自动化,4,2020-03-27 09:45,http://muchong.com/t-14161232-1
189,欢迎调剂到苏州科技大学，高效微纳米储能材料与产业化推进实验攻读研究生,苏州科技大学,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-27 09:00,http://muchong.com/t-14161148-1
190,湖北大学材料学院院长课题组招收少量考研调剂学生,湖北大学,工学 -> 材料科学与工程  ,0,2020-03-26 10:05,http://muchong.com/t-14159416-1
191,山东轻工接收调剂研究生,山东轻工,工学 -> 轻工技术与工程  -> 皮革化学与工程,3,2020-03-26 06:12,http://muchong.com/t-14159049-1
192,北京石油化工学院接收调剂研究生,北京石油化工学院,工学 -> 材料科学与工程  -> 材料学,3,2020-03-25 20:09,http://muchong.com/t-14158613-1
193,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-25 19:50,http://muchong.com/t-14158582-1
194,河北省稀土永磁材料与应用工程研究中心-材料工程专业硕士学位-2020硕士招,河北工程,工学 -> 材料科学与工程  -> 材料加工工程,8,2020-03-25 19:22,http://muchong.com/t-14158550-1
195,东北林大接收调剂研究生,东北林大,工学   ,3,2020-03-25 19:01,http://muchong.com/t-14158522-1
196,中科院地球化学研究所矿床地球化学国家重点实验室接收调剂研究生,中科院,工学 -> 地质资源与地质工程  -> 地质工程,1,2020-03-25 16:52,http://muchong.com/t-14158294-1
197,中国地质大学（北京）材料科学与工程学院考研调剂信息：张娜副教授课题组,中国地质大学（北京）,工学 -> 材料科学与工程  -> 材料学,3,2020-03-25 16:37,http://muchong.com/t-14158268-1
198,浙江科技接收调剂研究生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,30,2020-03-25 14:27,http://muchong.com/t-14157989-1
199,广西民族大学接收调剂研究生,广西民族大学,工学 -> 化学工程与技术  -> 生物化工,0,2020-03-25 14:13,http://muchong.com/t-14157961-1
200,北京工商大学聚合物功能薄膜团队接收高分子材料、轻工科学与技术专业研究生调剂,北京工商大学,工学 -> 材料科学与工程  -> 材料物理与化学,10,2020-03-25 12:50,http://muchong.com/t-14157798-1
201,复旦大学微电子学院Riaud课题组招生2020年博士2各、硕士2各,复旦大学,工学 -> 电子科学与技术  -> 微电子学与固体电子学,2,2020-03-25 12:14,http://muchong.com/t-14157748-1
202,西京学院接受调剂考生,西京学院,工学 -> 控制科学与工程  -> 检测技术与自动化装置,50,2020-03-25 10:13,http://muchong.com/t-14157435-1
203,上海工程接收调剂研究生,上海工程,工学 -> 材料科学与工程  -> 材料加工工程,1,2020-03-25 09:55,http://muchong.com/t-14157396-1
204,中国科学院大学温州研究院依托温州医科大学生物医学工程招聘调剂研究生1名,,工学 -> 材料科学与工程  -> 材料物理与化学,1,2020-03-25 09:46,http://muchong.com/t-14157377-1
205,桂林理工大学接收调剂研究生,桂林理工大学,工学 -> 材料科学与工程  -> 材料物理与化学,0,2020-03-25 08:21,http://muchong.com/t-14157187-1
206,内蒙古科大接收调剂研究生,内蒙古科大,工学 -> 治金工程  -> 治金物理化学,0,2020-03-25 07:28,http://muchong.com/t-14157115-1
207,青岛农业大学接收化学化工材料硕士研究生调剂,青岛农业大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-03-24 23:09,http://muchong.com/t-14156919-1
208,上海应用技术学院接收应用化学、高分子材料调剂研究生,上海应用技术学院,工学 -> 化学工程与技术  -> 应用化学,4,2020-03-24 21:02,http://muchong.com/t-14156715-1
209,金属材料、材料学、金属腐蚀、应用化学方向,东北电力大学,工学   ,4,2020-03-24 19:30,http://muchong.com/t-14156574-1
210,太原理工大学接收硕士调剂,太原理工,工学 -> 材料科学与工程  -> 材料学,12,2020-03-24 17:18,http://muchong.com/t-14156325-1
211,南昌航空大学接收调剂研究生,南昌航空大学,工学 -> 航空宇航科学与技术  -> 航空宇航推进理论与工程,0,2020-03-24 15:58,http://muchong.com/t-14156143-1
212,昆明理工大学化学工程学院青年教师――张俊华课题组招收调剂生2人,昆明理工,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-24 15:39,http://muchong.com/t-14156103-1
213,北京石油化工学院接收调剂研究生,北京石油化工学院,工学 -> 环境科学与工程  -> 环境工程,2,2020-03-24 14:36,http://muchong.com/t-14155960-1
214,浙江海洋接收调剂研究生,浙江海洋,工学 -> 石油与天然气工程  -> 油气田开发工程,3,2020-03-24 14:08,http://muchong.com/t-14155903-1
215,浙江科技接收调剂研究生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,30,2020-03-22 16:51,http://muchong.com/t-14152441-1
216,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-22 14:53,http://muchong.com/t-14152282-1
217,西北民族大学化工学院2020年研究生考研调剂通知,西北民大,工学 -> 材料科学与工程  ,0,2020-03-22 14:53,http://muchong.com/t-14152283-1
218,长春理工大学接收调剂研究生,长春理工大学,工学 -> 材料科学与工程  -> 材料学,3,2020-03-22 13:05,http://muchong.com/t-14152161-1
219,长春理工大学光电功能材料课题组接受调剂,长春理工大学,工学 -> 材料科学与工程  -> 材料学,3,2020-03-22 12:52,http://muchong.com/t-14152150-1
220,太原理工大学接收硕士调剂,太原理工,工学 -> 材料科学与工程  -> 材料学,12,2020-03-22 12:19,http://muchong.com/t-14152115-1
221,福建工程学院材料科学与工程学院 ―�D�D高分子材料科研团队2020年招生硕士研究生,福建工程学院,工学   ,100,2020-03-22 12:07,http://muchong.com/t-14152101-1
222,2020齐齐哈尔大学通信与信息系统，电子与通信工程 硕士调剂预招生,齐齐哈尔大学,工学 -> 信息与通信工程  -> 通信与信息系统,2,2020-03-22 09:57,http://muchong.com/t-14151865-1
223,西北民族大学王老师招收硕士研究生,西北民大,工学 -> 计算机科学与技术  ,2,2020-03-22 00:14,http://muchong.com/t-14151613-1
224,南昌航空大学接收调剂研究生,南昌航空大学,工学 -> 航空宇航科学与技术  -> 航空宇航推进理论与工程,3,2020-03-21 19:32,http://muchong.com/t-14151260-1
225,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-21 18:34,http://muchong.com/t-14151196-1
226,南京林业大学杨小飞教授课题组2020年接受材料类研究生调剂,南京林大,工学 -> 材料科学与工程  ,5,2020-03-21 16:54,http://muchong.com/t-14151063-1
227,济南大学化学化工学院艾洪奇课题组接收化工专硕,济南大学,工学 -> 化学工程与技术  -> 应用化学,1,2020-03-21 13:16,http://muchong.com/t-14150752-1
228,沈阳建筑大学机械工程学院王老师课题组招收硕士研究生,沈阳建筑,工学 -> 机械工程  -> 机械制造及其自动化,3,2020-03-21 12:53,http://muchong.com/t-14150728-1
229,浙江省农产品化学与生物加工重点实验室主任毛建卫教授团队招生物食品化工等调剂生,浙江科技,工学 -> 化学工程与技术  ,6,2020-03-21 11:44,http://muchong.com/t-14150639-1
230,南昌航空大学刘小明教授课题组招收2020级考研调剂生,南昌航空大学,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-21 11:14,http://muchong.com/t-14150574-1
231,河北经贸接收调剂研究生,河北经贸,工学 -> 生物工程  ,2,2020-03-21 10:59,http://muchong.com/t-14150544-1
232,2020东北石油大学接受调剂（土木类环境类动力类建筑类）,东北石油大学,工学 -> 土木工程  -> 供热、供燃气、通风及空调工程,80,2020-03-21 09:25,http://muchong.com/t-14150371-1
233,济南大学接收调剂研究生,济南大学,工学 -> 材料科学与工程  -> 材料物理与化学,3,2020-03-21 08:47,http://muchong.com/t-14150321-1
234,南京林大接收调剂研究生,南京林大,工学 -> 化学工程与技术  -> 化学工程,0,2020-03-21 07:00,http://muchong.com/t-14150194-1
235,太原理工大学教育部重点实验室招收光学、测控方面调剂生,太原理工,工学 -> 光学工程  ,0,2020-03-21 00:09,http://muchong.com/t-14150118-1
236,2020年东北林业大学韩世岩老师招收调剂硕士研究生,东北林大,工学 -> 林业工程  -> 林产化学加工工程,2,2020-03-20 20:49,http://muchong.com/t-14149861-1
237,南昌航空大学材料学院磁性材料与器件实验室收调剂生,南昌航空大学,工学 -> 材料科学与工程  ,0,2020-03-20 20:47,http://muchong.com/t-14149852-1
238,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 化学工程,3,2020-03-20 20:40,http://muchong.com/t-14149839-1
239,重庆工商大学拟招收2名化学，材料背景调剂生 专业课需要数二,重庆工商,工学 -> 环境科学与工程  ,2,2020-03-20 17:41,http://muchong.com/t-14149599-1
240,浙江科技接收调剂研究生,浙江科技,工学 -> 化学工程与技术  -> 化学工程,30,2020-03-20 16:40,http://muchong.com/t-14149508-1
241,昆明理工接收调剂研究生,昆明理工,工学 -> 工程[专]  -> 计算机技术,0,2020-03-20 14:42,http://muchong.com/t-14149224-1
242,2020年中南林业科技大学材料科学与工程学院夏燎原副教授接收化学、材料类硕士调剂生,中南林业科大,工学 -> 材料科学与工程  ,2,2020-03-20 13:46,http://muchong.com/t-14149119-1
243,2020年中南林业科技大学材料科学与工程学院夏燎原副教授接 收化学、材料类硕士调剂生,中南林业科大,工学 -> 材料科学与工程  ,2,2020-03-20 12:58,http://muchong.com/t-14149034-1
244,东北林大邸明伟教授课题组接收调剂硕士,东北林大,工学   ,2,2020-03-20 11:53,http://muchong.com/t-14148913-1
245,大连工大接收调剂研究生,大连工大,工学 -> 化学工程与技术  -> 应用化学,0,2020-03-20 11:34,http://muchong.com/t-14148876-1
246,北京石油化工学院机械工程学院光电检测技术课题组欢迎您的调剂,北京石油化工学院,工学 -> 机械工程  -> 机械电子工程,4,2020-03-20 11:29,http://muchong.com/t-14148862-1
247,东北林业大学材料与化工专业（轻工技术与工程方向）招收调剂生,东北林大,工学 -> 轻工技术与工程  ,1,2020-03-20 11:10,http://muchong.com/t-14148826-1
248,余伟阳2020拟招收物理、材料背景调剂生2名,河南理工,工学 -> 材料科学与工程  -> 材料物理与化学,2,2020-03-20 10:40,http://muchong.com/t-14148757-1
249,长春大学接收调剂研究生,长春大学,工学 -> 机械工程  -> 机械制造及其自动化,10,2020-03-20 09:07,http://muchong.com/t-14148541-1
250,广西民族大学接收调剂研究生,广西民族大学,工学 -> 化学工程与技术  -> 生物化工,1,2020-03-20 09:07,http://muchong.com/t-14148542-1
251,沈阳工大接收调剂研究生,沈阳工大,工学 -> 化学工程与技术  -> 化学工程,2,2020-03-20 08:09,http://muchong.com/t-14148449-1
252,河北大学接收调剂研究生,河北大学,工学   ,10,2020-03-19 23:51,http://muchong.com/t-14148238-1
253,辽宁工程技术大学接收调剂研究生,辽宁工程技术大学,工学 -> 力学  -> 工程力学,10,2020-03-19 23:39,http://muchong.com/t-14148224-1
254,沈阳建筑接收调剂研究生,沈阳建筑,工学 -> 测绘科学与技术  -> 摄影测量与遥感,0,2020-03-19 22:38,http://muchong.com/t-14148137-1
